left_knee,right_knee,left_hip,right_hip,left_shoulder,right_shoulder
136.44,158.93,171.14,170.31,23.56,35.62
138.65,154.82,167.93,167.51,28.83,36.59
135.55,150.76,168.01,171.67,31.74,44.23
142.47,157.38,173.66,173.08,31.88,42.08
144.74,152.37,169.74,166.32,32.1,41.38
146.04,162.77,170.29,166.97,34.35,42.36
142.1,157.53,169.21,163.46,37.97,43.76
149.48,158.66,164.62,163.89,41.09,44.7
156.31,165.57,167.36,165.68,39.82,44.39
153.01,161.34,166.34,165.79,41.83,37.31
153.99,161.5,168.86,162.96,36.84,44.74
149.75,163.14,166.58,163.31,36.06,40.02
150.48,167.37,163.72,157.57,35.84,41.48
156.84,163.53,165.99,159.0,33.13,35.91
152.72,162.47,162.82,160.39,35.67,36.63
153.86,162.14,158.85,155.88,33.52,30.63
159.43,166.52,160.01,150.04,29.82,34.11
155.77,160.6,157.53,155.06,32.12,29.68
167.32,171.47,155.14,154.15,26.01,25.97
159.1,162.7,154.74,150.44,23.17,25.66
153.14,161.82,147.82,152.67,21.55,22.28
155.49,167.67,150.62,150.97,22.18,20.82
158.36,161.3,151.57,148.17,14.99,22.24
156.6,165.07,149.59,147.39,17.2,19.52
155.96,161.36,150.31,147.18,12.59,19.26
155.23,159.61,144.74,145.91,11.78,20.22
155.08,162.98,146.5,146.5,10.78,20.99
151.83,159.3,143.97,141.57,7.57,15.61
149.06,158.76,145.43,143.67,10.92,19.63
149.03,153.36,142.73,138.8,8.91,19.18
141.54,155.62,138.3,140.51,10.48,22.35
147.91,153.66,143.1,142.36,11.3,23.34
148.08,152.54,141.97,142.07,15.04,26.88
142.9,146.03,136.9,144.96,15.54,28.94
145.96,149.55,137.57,140.61,19.0,26.08
137.31,143.9,134.27,141.18,25.28,29.64
139.38,139.14,140.44,138.82,21.46,31.02
138.55,137.26,140.68,140.75,31.18,33.37
133.11,135.27,141.15,139.19,23.97,35.01
130.4,140.43,138.44,141.85,30.0,37.25
132.01,136.25,135.5,142.73,32.48,38.85
125.86,136.24,137.75,142.5,33.26,43.33
127.67,133.24,140.03,142.32,34.61,39.97
121.02,130.3,140.46,145.32,34.05,38.5
130.17,130.52,141.04,145.01,39.45,45.04
120.58,130.85,141.58,145.99,36.2,40.2
119.0,127.72,142.52,143.76,37.81,41.16
114.62,130.89,141.09,148.44,41.19,42.99
117.64,129.54,142.77,147.8,36.54,37.42
119.64,121.06,146.75,149.1,37.63,39.84
117.63,125.79,146.93,148.53,35.01,35.19
114.36,123.74,147.63,153.85,37.82,34.57
115.18,123.92,147.97,151.51,28.0,35.58
115.16,130.29,148.7,155.46,30.72,30.2
112.03,130.27,149.74,155.5,32.59,32.78
107.26,129.91,151.69,158.13,26.85,27.62
115.71,126.96,154.09,155.91,28.2,24.24
114.2,130.55,155.71,163.0,21.09,21.03
